Company Name,ISIN,Industry,Total score (max. 20),1,1a,2,2a,2b,3,3a,3b,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,8a,9,9a,9b,9c,9d,10,10a,10b,10c,11,11a,11b,11c,12,12a,12b,13,13a,13b,13c,13d,14,14a,14b,14c,14d,15,15a,15b,16,16a,16b,16c,17,17a,17b,17c,17d,18,18a,18b,18c,18d
Abu Dhabi National Oil Company (ADNOC),0,Oil and Gas,4,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
AES Corporation,US00130H1059,Electric Utilities,4.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Not Met,Met
AGL Energy,AU000000AGL7,Electric Utilities,8.5,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Met,Not Met,Not Met
American Electric Power (AEP),US0255371017,Electric Utilities,5.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Met,Met
Ampol Limited,AU0000088338,Oil and Gas,6.5,1,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
Anhui Jianghuai Automobile Group,CNE0000018M9,Automotive,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Apache Corporation,US0374111054,Oil and Gas,6,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Not Met,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Met,0.5,Met,Not Met,Not Met,Not Met
Basra Oil Company (BOC),0,Oil and Gas,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Beijing Automotive Group (BAIC),CNE100001TJ4,Automotive,2,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Bharat Petroleum Corporation,INE029A01011,Oil and Gas,4,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
BHP Group,AU000000BHP4,Oil and Gas,13.5,1,Met,0.5,Met,Not Met,1,Met,Met,2,Met,Not Met,0,Not Met,Not Met,1,Met,Met,1,Met,1,Met,1,Met,Met,Met,Met,0.5,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,1,Met,Met,Met,1,Met,Met,Met,Met,0.5,Met,Met,Not Met,Not Met
BMW,DE0005190003,Automotive,8.5,1,Met,1,Met,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,0.5,Met,Met,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
BP,GB0007980591,Oil and Gas,13,1,Met,0.5,Met,Not Met,1,Met,Met,2,Met,Not Met,2,Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Not Met,Met,Met,Not Met,0,Not Met,Not Met,1,Met,Met,Met,1,Met,Met,Met,Met,0.5,Met,Met,Met,Not Met
BYD,CNE100001526,Automotive,1.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Not Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
California Resources Corporation,US13057Q3056,Oil and Gas,3,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Met
Canadian Natural Resources,CA1363851017,Oil and Gas,6,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Not Met,Met,Met,0.5,Met,Met,Not Met,Not Met
Cenovus Energy,CA15135U1093,Oil and Gas,6.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,1,Met,Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Met,Met,Not Met
CEZ Group,CZ0005112300,Electric Utilities,8.5,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,1,Met,Met,Met,Met,0.5,Met,Met,Not Met,Not Met
Changan Automobile,CNE000000R36,Automotive,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Chesapeake Energy Corp,US1651677437,Oil and Gas,5.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Met,Not Met
Chevron Corporation,US1667641005,Oil and Gas,9,1,Met,1,Met,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Not Met,Not Met
China Datang Corp,0,Electric Utilities,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China Energy Investment Group (CHN Energy),CA92143B1004,Electric Utilities,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China FAW Group (FAW Car Company),0,Automotive,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China Huadian Corporation,CNE000001LJ2,Electric Utilities,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China Huaneng Group,KYG2116D1198,Electric Utilities,1,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China National Offshore Oil Corporation (CNOOC Group),0,Oil and Gas,4.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
China National Petroleum Corporation (CNPC),0,Oil and Gas,2.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China Petroleum and Chemical Corporation Limited (Sinopec),CNE0000018G1,Oil and Gas,0.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
China Three Gorges,CNE000001G87,Electric Utilities,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Chubu Electric Power,JP3526600006,Electric Utilities,3,1,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Chugoku Electric Power Company,JP3522200009,Electric Utilities,2.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
CLP Holdings,HK0002007356,Electric Utilities,8.5,1,Met,0,Not Met,Not Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Met,0.5,Met,Met,Not Met,Not Met,1,Met,Met,0.5,Not Met,Not Met,Met,0.5,Met,Met,Not Met,Met,0.5,Not Met,Not Met,Met,Not Met
Comision Federal de Electricidad (CFE),0,Electric Utilities,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Compania Espanola de Petroleos SAU (CEPSA),ES0132580319,Oil and Gas,9,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Not Met,Met,Not Met,Met,0.5,Met,Not Met,1,Met,Met,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Met,Not Met,Met
ConocoPhillips,US20825C1045,Oil and Gas,9.5,1,Met,0,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,2,Met,Not Met,0.5,Not Met,Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,1,Met,Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met,1,Met,Met,0.5,Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
Cosmo Energy Holdings,JP3298000005,Oil and Gas,6,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met
"CPC Corporation, Taiwan",0,Oil and Gas,2,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Not Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Daimler,DE0007100000,Automotive,11,1,Met,1,Met,Met,1,Met,Met,2,Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,0.5,Met,Not Met,Not Met,1,Met,Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
Devon Energy Corp,US25179M1036,Oil and Gas,6,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Met,Met,Not Met,Met,0.5,Not Met,Not Met,Met,Not Met
Dominion Energy,US25746U1097,Electric Utilities,5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Met,Not Met
Dongfeng Motor Group,CNE100000312,Automotive,0.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Duke Energy,US26441C2044,Electric Utilities,7,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Met,Not Met
