Company Name,ISIN,Industry,Total score (max. 20),1,1a,2,2a,2b,3,3a,3b,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,8a,9,9a,9b,9c,9d,10,10a,10b,10c,11,11a,11b,11c,12,12a,12b,13,13a,13b,13c,13d,14,14a,14b,14c,14d,15,15a,15b,16,16a,16b,16c,17,17a,17b,17c,17d,18,18a,18b,18c,18d
E.ON,DE000ENAG999,Electric Utilities,8.5,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Met,Not Met,Not Met
Ecopetrol,COC04PA00016,Oil and Gas,14,1,Met,1,Met,Met,0.5,Met,Not Met,2,Not Met,Met,2,Partially Met,Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Met,1,Met,Met,0.5,Met,Met,Not Met,1,Met,Met,Met,Met,0.5,Met,Met,Met,Not Met
EDP Energias de Portugal,PTEDP0AM0009,Electric Utilities,11.5,1,Met,1,Met,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,1,Met,Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,1,Met,Met,Met,Met,1,Met,Met,0.5,Met,Not Met,Not Met,1,Met,Met,Met,Met,0.5,Not Met,Met,Met,Not Met
Egyptian Electricity Holding Company (EEHC),0,Electric Utilities,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Egyptian General Petroleum Corporation (EGPC),0,Oil and Gas,0,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Électricité de France (EDF),FR0010242511,Electric Utilities,15.5,1,Met,1,Met,Met,1,Met,Met,2,Met,,2,Met,,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Met,0.5,Met,Not Met,Met,1,Met,Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,1,Met,Met,Met,Met,0.5,Met,Not Met,Met,Not Met
Electricity Generating Authority of Thailand,TH0863010003,Electric Utilities,2,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Eletrobras,BRELETACNPB7,Electric Utilities,9.5,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,Met,0.5,Met,Met,Not Met,Not Met,1,Met,Met,0,Not Met,Not Met,Not Met,1,Met,Met,Met,Met,0.5,Not Met,Met,Not Met,Not Met
Emirates National Oil Company (ENOC),0,Oil and Gas,4,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
EnBW Energie Baden-Wuerttemberg,DE0005220008,Electric Utilities,7.5,1,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,0.5,Not Met,Met,Met,Met,0.5,Met,Met,Met,Not Met
Enel,IT0003128367,Electric Utilities,12.5,1,Met,1,Met,Met,1,Met,Met,0,Not Met,Not Met,2,Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,1,Met,Met,Met,Met,0.5,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Met,0.5,Met,Met,Met,Not Met,0,Not Met,Not Met,1,Met,Met,Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Met,Not Met,Not Met
ENEOS Holdings,JP3386450005,Oil and Gas,7,1,Met,1,Met,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Engie,FR0010208488,Electric Utilities,11,1,Met,1,Met,Met,1,Met,Met,0,Not Met,Not Met,2,Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Met,Not Met,Met
Engie,FR0010208488,Oil and Gas,11,1,Met,1,Met,Met,1,Met,Met,0,Not Met,Not Met,2,Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Met,Not Met,Met
Eni,IT0003132476,Oil and Gas,15.5,1,Met,1,Met,Met,1,Met,Met,2,Met,Not Met,2,Met,Not Met,1,Met,Met,1,Met,1,Met,1,Met,Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,1,Met,Met,Met,Met,0.5,Not Met,Met,Not Met,Not Met
Enterprise Products Partners,US2937921078,Oil and Gas,4,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
EOG Resources,US26875P1012,Oil and Gas,4.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
Equinor,NO0010096985,Oil and Gas,10,1,Met,0.5,Met,Not Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,1,Met,Met,Met,Met,0.5,Met,Met,Not Met,Met
Eskom Holdings,US2964634099,Electric Utilities,3.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,Met,Not Met,1,Met,Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Exelon Corporation,US30161N1019,Electric Utilities,5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Not Met,Met
Exxon Mobil,US30231G1022,Oil and Gas,5.5,1,Met,0,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,Not Met,Not Met
Fiat Chrysler Automobiles,NL0010877643,Automotive,8,1,Met,0.5,Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,1,Met,Met,Met,Met,0.5,Met,Not Met,Not Met,Not Met
Ford,US3453708600,Automotive,13,1,Met,1,Met,Met,1,Met,Met,2,Met,,2,Met,,0.5,Not Met,Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Not Met,Not Met
Formosa Petrochemical Corp,TW0006505001,Oil and Gas,2,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met
Fortum,FI0009007132,Electric Utilities,9,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Not Met,Met,Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Met,Not Met,Met
GAIL (India),INE129A01019,Oil and Gas,4,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,0.5,Not Met,Not Met,Met,0.5,Not Met,Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
Galp Energia,PTGAL0AM0009,Oil and Gas,9.5,1,Met,0.5,Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,1,Met,1,Met,1,Met,Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,1,Met,Met,0.5,Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Not Met,Not Met,Met,Not Met
Gazprom,RU0007661625,Oil and Gas,5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,2,Met,Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
General Motors Corporation (GM),US37045V1008,Automotive,7.5,1,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Met,Not Met,0.5,Not Met,Not Met,Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0.5,Met,Not Met,Not Met,Not Met
Great Wall Motor Company,CNE1000018V8,Automotive,1,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Not Met,Not Met,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Groupe PSA,FR0000121501,Automotive,11.5,1,Met,1,Met,Met,1,Met,Met,2,Met,Not Met,2,Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,1,Met,Met,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Not Met,Met,0.5,Not Met,Met,Not Met,Not Met
GS Holdings,0,Oil and Gas,2.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
Guangzhou Automobile Group,CNE100001NQ2,Automotive,1,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
Hellenic Petroleum,GRS298343005,Oil and Gas,3.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,0.5,Met,Not Met,Met,Not Met,0.5,Not Met,Met,Not Met,Not Met
Hess Corporation,US42809H1077,Oil and Gas,10,1,Met,1,Met,Met,0,Not Met,Not Met,2,Not Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,1,Met,Met,Met,1,Met,Met,Met,Met,0.5,Met,Not Met,Met,Not Met
Holly Frontier,US4361061082,Oil and Gas,6,1,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,1,Met,Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
Honda Motor,JP3854600008,Automotive,5.5,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,2,Not Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Hyundai Motor Company,KR7000720003,Automotive,7.5,1,Met,0,Not Met,Not Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,1,Met,Met,0.5,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Met,0.5,Not Met,Met,Not Met,Not Met
Iberdrola,ES0144580Y14,Electric Utilities,7,1,Met,1,Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Not Met,Met,Not Met,Met,0.5,Met,Met,Met,Not Met,0.5,Met,Not Met,1,Met,Met,Met,0.5,Met,Met,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Idemitsu Kosan,JP3142500002,Oil and Gas,6.5,1,Met,1,Met,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Not Met,Not Met,0.5,Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Indian Oil Corporation (IndianOil),INE242A01010,Oil and Gas,3.5,0,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Not Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,Not Met
Inpex,JP3294460005,Oil and Gas,11,1,Met,0,Not Met,Not Met,1,Met,Met,2,Met,,2,Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Met,Not Met,1,Met,Met,Met,Met,0,Not Met,Not Met,Not Met,Not Met
Inter RAO,RU000A0JPNM1,Electric Utilities,6,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,1,Met,0.5,Met,Not Met,Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,1,Met,Met,Met,Met,0.5,Not Met,Met,Not Met,Not Met
Kansai Electric Power Company (KEPCO),JP3228600007,Electric Utilities,4,1,Met,0.5,Not Met,Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,1,Met,0,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
Kia Motors Corporation,KR7000270009,Automotive,6,1,Met,0,Not Met,Not Met,0,Not Met,Not Met,2,Not Met,Met,0,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,0,Not Met,0.5,Met,Not Met,Not Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Met,Not Met,Not Met,0.5,Met,Met,Not Met,Met,0.5,Not Met,Met,Not Met,Not Met
Korea Electric Power Corporation (KEPCO/Hanjeon),KR7015760002,Electric Utilities,8.5,1,Met,0.5,Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,2,Met,Not Met,1,Met,Met,1,Met,1,Met,0.5,Met,Not Met,Met,Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,Not Met,0,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0.5,Not Met,Met,Not Met,Not Met,0,Not Met,Not Met,0,Not Met,Not Met,Not Met,0.5,Met,Met,Met,Not Met,0,Not Met,Not Met,Not Met,Not Met
